Codigo,Descricao,Credito,Parcela PF,Parcela PJ,Redutor,Prazo,Taxa Adm,Fundo de Reserva,Seguro de Vida,Sorteio,Lance Fixo,Lance Embutiro,Lance Livre,Plano,Status,Pontos Livelo,Credito Texto,Parcela PF Texto,Prazo Texto,CTA,Imagem,Reajuste anual
AF01,AUTOMOVEL FLEX AF01,"$25000,00","$480,01","$480,01",20%,50,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,996,Em formação ,6720,"Crédito: R$25.000,00"," R$ 480,01 ",Prazo: 50 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AF02,AUTOMOVEL FLEX AF02,"$27500,00","$528,00","$528,00",20%,50,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,996,Em formação ,7392,"Crédito: R$27.500,00"," R$ 528,00 ",Prazo: 50 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AF03,AUTOMOVEL FLEX AF03,"$30000,00","$576,00","$576,00",20%,50,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,996,Em formação ,8064,"Crédito: R$30.000,00"," R$ 576,00 ",Prazo: 50 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AF04,AUTOMOVEL FLEX AF04,"$32500,00","$624,00","$624,00",20%,50,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,996,Em formação ,8736,"Crédito: R$32.500,00"," R$ 624,00 ",Prazo: 50 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AF05,AUTOMOVEL FLEX AF05,"$35000,00","$672,01","$672,01",20%,50,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,996,Em formação ,9408,"Crédito: R$35.000,00"," R$ 672,01 ",Prazo: 50 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AF06,AUTOMOVEL FLEX AF06,"$37500,00","$720,00","$720,00",20%,50,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,996,Em formação ,10080,"Crédito: R$37.500,00"," R$ 720,00 ",Prazo: 50 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AF07,AUTOMOVEL FLEX AF07,"$40000,00","$768,00","$768,00",20%,50,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,996,Em formação ,10752,"Crédito: R$40.000,00"," R$ 768,00 ",Prazo: 50 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AF08,AUTOMOVEL FLEX AF08,"$42500,00","$816,00","$816,00",20%,50,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,996,Em formação ,11424,"Crédito: R$42.500,00"," R$ 816,00 ",Prazo: 50 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AF09,AUTOMOVEL FLEX AF09,"$45000,00","$864,01","$864,01",20%,50,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,996,Em formação ,12096,"Crédito: R$45.000,00"," R$ 864,01 ",Prazo: 50 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
AF10,AUTOMOVEL FLEX AF10,"$47500,00","$912,00","$912,00",20%,50,18%,2%,Não possui ,1 por mês,Não possui ,15%,Todas que o saldo do grupo permitir ,996,Em formação ,12768,"Crédito: R$47.500,00"," R$ 912,00 ",Prazo: 50 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png,IPCA
