Codigo,Descricao,Credito,Parcelas de 01 a 12,Demais parcelas,Redutor,Prazo ,Taxa Adm ,Taxa de Adesão ,Fundo de Reserva,Seguro de vida,Reajuste anual ,Sorteio ,Lance fixo ,Lance Embutido ,Lance Livre ,Plano,Status ,Pontos Livero,Credito Texto,Parcelas 01 a 12 Texto,Demais Parcelas Texto,Prazo Texto,CTA,Imagem,Parcelas Todas Texto
IMOVEL FLEX IE1 XIE1X,IMOVEL FLEX,"70000,00",444.78,"328,09",25%,200,25%,2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1032,Em formação ,15567,"Crédito: R$70.000,00","Parcela de 01 a 12: R$444,78","Demais parcelas: R$328,09",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12: R$ 444,78/ Demais parcelas: R$ 328,09
"
IMOVEL FLEX IE2 XIE2X,IMOVEL FLEX,"75000,00",476.57,"351,54",25%,200,25%,2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1032,Em formação ,16680,"Crédito: R$75.000,00","Parcela de 01 a 12: R$476,57","Demais parcelas: R$351,54",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:  R$ 476,57 / Demais parcelas:  R$ 351,54
"
IMOVEL FLEX IE3 XIE3X,IMOVEL FLEX,"80000,00",508.32,"374,96",25%,200,25%,2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1032,Em formação ,17791,"Crédito: R$80.000,00","Parcela de 01 a 12: R$508,32","Demais parcelas: R$374,96",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:  R$ 508,32 / Demais parcelas:  R$ 374,96
"
IMOVEL FLEX IE4 XIE4X,IMOVEL FLEX,"85000,00",540.11,"398,41",25%,200,25%,2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1032,Em formação ,18904,"Crédito: R$85.000,00","Parcela de 01 a 12: R$540,11","Demais parcelas: R$398,41",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:  R$ 540,11 / Demais parcelas:  R$ 398,41
"
IMOVEL FLEX IE5 XIE5X,IMOVEL FLEX,"90000,00",571.86,"421,83",25%,200,25%,2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1032,Em formação ,20015,"Crédito: R$90.000,00","Parcela de 01 a 12: R$571,86","Demais parcelas: R$421,83",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:  R$ 571,86 / Demais parcelas:  R$ 421,83
"
IMOVEL FLEX IE6 XIE6X,IMOVEL FLEX,"95000,00",603.65,"445,28",25%,200,25%,2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1032,Em formação ,21128,"Crédito: R$95.000,00","Parcela de 01 a 12: R$603,65","Demais parcelas: R$445,28",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:  R$ 603,65  / Demais parcelas:  R$ 445,28
"
IMOVEL FLEX IE7 XIE7X,IMOVEL FLEX,"100000,00",635.40,"468,70",25%,200,25%,2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1032,Em formação ,22239,"Crédito: R$100.000,00","Parcela de 01 a 12: R$635,40","Demais parcelas: R$468,70",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:  R$ 635,40 / Demais parcelas:  R$ 468,70
"
IMOVEL FLEX IE8 XIE8X,IMOVEL FLEX,"105000,00",667.19,"492,15",25%,200,25%,2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1032,Em formação ,23352,"Crédito: R$105.000,00","Parcela de 01 a 12: R$667,19","Demais parcelas: R$492,15",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:  R$ 667,19 / Demais parcelas: R$ 492,15
"
IMOVEL FLEX IE9 XIE9X,IMOVEL FLEX,"110000,00",698.94,"515,57",25%,200,25%,2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1032,Em formação ,24463,"Crédito: R$110.000,00","Parcela de 01 a 12: R$698,94","Demais parcelas: R$515,57",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:  R$ 698,94  / Demais parcelas:  R$ 515,57
"
IMOVEL FLEX IE10 XIE10X,IMOVEL FLEX,"115000,00",730.73,"539,02",25%,200,25%,2%,2%,Não possui ,A média entre IPCA e INCC,1 por mês ,40%,30%,Todas que o saldo do grupo permitir ,1032,Em formação ,25576,"Crédito: R$115.000,00","Parcela de 01 a 12: R$730,73","Demais parcelas: R$539,02",Prazo: 200 meses,Contratar,https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png,"Parcela de 01 a 12:  R$ 730,73  / Demais parcelas:  R$ 539,02
"
