"tipo","codigo","descricao","credito","parcela_01_12","demais_parcelas","parcela_pf","parcela_pj","redutor","prazo","taxa_adm","adesao","fundo_reserva","seguro","reajuste","sorteio","lance_fixo","lance_embutido","grupo","status","pontos_livelo","imagem"
"Imovel","IMOVEL FLEX IE1 XIE1X","IMOVEL FLEX","70000","444,78","328,09",,,"25","200","25","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1032","Em formação","15567","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","IMOVEL FLEX IE2 XIE2X","IMOVEL FLEX","75000","476,57","351,54",,,"25","200","25","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1032","Em formação","16680","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","IMOVEL FLEX IE3 XIE3X","IMOVEL FLEX","80000","508,32","374,96",,,"25","200","25","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1032","Em formação","17791","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","IMOVEL FLEX IE4 XIE4X","IMOVEL FLEX","85000","540,11","398,41",,,"25","200","25","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1032","Em formação","18904","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","IMOVEL FLEX IE5 XIE5X","IMOVEL FLEX","90000","571,86","421,83",,,"25","200","25","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1032","Em formação","20015","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","IMOVEL FLEX IE6 XIE6X","IMOVEL FLEX","95000","603,65","445,28",,,"25","200","25","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1032","Em formação","21128","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","IMOVEL FLEX IE7 XIE7X","IMOVEL FLEX","100000","635,4","468,7",,,"25","200","25","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1032","Em formação","22239","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","IMOVEL FLEX IE8 XIE8X","IMOVEL FLEX","105000","667,19","492,15",,,"25","200","25","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1032","Em formação","23352","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","IMOVEL FLEX IE9 XIE9X","IMOVEL FLEX","110000","698,94","515,57",,,"25","200","25","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1032","Em formação","24463","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","IMOVEL FLEX IE10 XIE10X","IMOVEL FLEX","115000","730,73","539,02",,,"25","200","25","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1032","Em formação","25576","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Imovel","IMOVEL FLEX IE11 XIE11X","IMOVEL FLEX","120000","762,48","562,44",,,"25","200","25","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1032","Em formação","26687","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
